stage_no,date,distance_km,profile_type,finish_type,profile_score,vertical_meters,gradient_final_km,departure,arrival,source_url
1,22 August 2026,9.4,itt,tt,2,55,,Monaco,Monaco,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-1
2,23 August 2026,214.3,hilly,uphill,96,3028,3.6,Monaco,Manosque,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-2
3,24 August 2026,174.0,mountain,summit,203,2639,4.6,Gruissan - Aude,Font Romeu,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-3
4,25 August 2026,104.8,mountain,flat,252,3024,0.7,Andorra la Vella,Andorra la Vella,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-4
5,26 August 2026,173.3,hilly,flat,90,1689,1.6,Falset. Costa Daurada,Roquetes. Terres de l'Ebre,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-5
6,27 August 2026,177.4,hilly,flat,188,2984,0.0,Alcossebre,Castelló,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-6
7,28 August 2026,149.8,mountain,summit,278,3597,1.2,Vall d'Alba,Aramón Valdelinares,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-7
8,29 August 2026,171.0,hilly,flat,41,1280,0.0,Puçol,Xeraco,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-8
9,30 August 2026,187.4,mountain,summit,349,4952,6.5,La Vila Joiosa/Villajoyosa,Alto de Aitana. Costa Blanca,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-9
10,01 September 2026,184.7,hilly,uphill,127,2669,1.3,Alcaraz,Elche de la Sierra,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-10
11,02 September 2026,151.3,hilly,flat,60,1444,2.5,Cartagena,Lorca,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-11
12,03 September 2026,166.6,mountain,summit,355,4475,4.1,Vera,Calar Alto,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-12
13,04 September 2026,192.8,hilly,flat,130,3277,3.3,Almuñécar,Loja,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-13
14,05 September 2026,154.5,mountain,summit,373,4107,4.1,Jaén,Sierra de la Pandera,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-14
15,06 September 2026,189.7,hilly,flat,105,2853,0.2,Palma del Río,Córdoba,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-15
16,08 September 2026,181.1,flat,sprint,54,1914,0.6,Cortegana,La Rábida. Palos de la Frontera,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-16
17,09 September 2026,185.0,flat,sprint,14,930,0.8,Dos Hermanas,Sevilla,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-17
18,10 September 2026,32.1,itt,tt,7,169,0.7,El Puerto de Santa María,Jerez de la Frontera,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-18
19,11 September 2026,210.8,hilly,uphill,271,3987,7.9,Vélez-Málaga,Peñas Blancas. Estepona,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-19
20,12 September 2026,186.8,mountain,summit,521,4849,9.6,La Calahorra,Collado del Alguacil,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-20
21,13 September 2026,112.0,hilly,flat,93,1311,0.8,Carrefour Granada,Granada,https://www.procyclingstats.com/race/vuelta-a-espana/2026/stage-21
